reservoir,date,area_m2
Cannonsville,2001-11-15,13484700
Cannonsville,2002-03-15,13488300
Cannonsville,2002-04-15,14724900
Cannonsville,2002-05-15,15063300
Cannonsville,2002-06-15,16216200
Cannonsville,2002-07-15,15477300
Cannonsville,2002-08-15,15061500
Cannonsville,2002-09-15,13158000
Cannonsville,2002-10-15,13158000
Cannonsville,2002-11-15,15840000
Cannonsville,2003-03-15,18148500
Cannonsville,2003-04-15,18090900
Cannonsville,2003-05-15,17240400
Cannonsville,2003-06-15,16520400
Cannonsville,2003-07-15,16293600
Cannonsville,2003-08-15,16292700
Cannonsville,2003-09-15,17055900
Cannonsville,2003-10-15,17794800
Cannonsville,2003-11-15,18261900
Cannonsville,2004-03-15,18270000
Cannonsville,2004-04-15,17842500
Cannonsville,2004-05-15,17581500
Cannonsville,2004-06-15,16514100
Cannonsville,2004-07-15,16079400
Cannonsville,2004-08-15,16467300
Cannonsville,2004-09-15,17486100
Cannonsville,2004-10-15,17093700
Cannonsville,2004-11-15,17944200
Cannonsville,2005-03-15,18258300
Cannonsville,2005-04-15,18260100
Cannonsville,2005-05-15,17865900
Cannonsville,2005-06-15,16425000
Cannonsville,2005-07-15,15581700
Cannonsville,2005-08-15,11955600
Cannonsville,2005-09-15,13162500
Cannonsville,2005-10-15,11665800
Cannonsville,2005-11-15,17902800
Cannonsville,2006-03-15,17919000
Cannonsville,2006-04-15,17913600
Cannonsville,2006-05-15,17395200
Cannonsville,2006-06-15,17383500
Cannonsville,2006-07-15,17302500
Cannonsville,2006-08-15,17318700
Cannonsville,2006-09-15,17024400
Cannonsville,2006-10-15,17793900
Cannonsville,2006-11-15,18248400
Cannonsville,2007-03-15,18255600
Cannonsville,2007-04-15,18231300
Cannonsville,2007-05-15,17630100
Cannonsville,2007-06-15,15939000
Cannonsville,2007-07-15,15529500
Cannonsville,2007-08-15,15105600
Cannonsville,2007-09-15,14243400
Cannonsville,2007-10-15,14101200
Cannonsville,2007-11-15,18238500
Cannonsville,2008-03-15,18253800
Cannonsville,2008-04-15,18099900
Cannonsville,2008-05-15,16860600
Cannonsville,2008-06-15,16785900
Cannonsville,2008-07-15,15714900
Cannonsville,2008-08-15,15723900
Cannonsville,2008-09-15,15237900
Cannonsville,2008-10-15,15235200
Cannonsville,2008-11-15,18065700
Cannonsville,2009-03-15,18078300
Cannonsville,2009-04-15,17862300
Cannonsville,2009-05-15,17007300
Cannonsville,2009-06-15,16871400
Cannonsville,2009-07-15,16512300
Cannonsville,2009-08-15,16515000
Cannonsville,2009-09-15,16585200
Cannonsville,2009-10-15,16566300
Cannonsville,2009-11-15,16773300
Cannonsville,2010-03-15,17575200
Cannonsville,2010-04-15,17617500
Cannonsville,2010-05-15,16990200
Cannonsville,2010-06-15,15967800
Cannonsville,2010-07-15,15971400
Cannonsville,2010-08-15,14598000
Cannonsville,2010-09-15,14593500
Cannonsville,2010-10-15,14732100
Cannonsville,2010-11-15,17676000
Cannonsville,2011-04-15,17407800
Cannonsville,2011-05-15,17401500
Cannonsville,2011-06-15,16784100
Cannonsville,2011-07-15,16660800
Cannonsville,2011-08-15,16569900
Cannonsville,2011-09-15,16722900
Cannonsville,2011-10-15,17566200
Cannonsville,2011-11-15,17563500
Cannonsville,2012-03-15,17460900
Cannonsville,2012-04-15,16965000
Cannonsville,2012-05-15,16296300
Cannonsville,2012-06-15,14793300
Cannonsville,2012-07-15,14638500
Cannonsville,2012-08-15,14643000
Cannonsville,2012-09-15,14640300
Cannonsville,2012-10-15,15506100
Cannonsville,2013-04-15,17589600
Cannonsville,2013-05-15,16923600
Cannonsville,2013-06-15,16704900
Cannonsville,2013-07-15,16707600
Cannonsville,2013-08-15,16463700
Cannonsville,2013-09-15,16455600
Cannonsville,2013-10-15,16307100
Cannonsville,2013-11-15,17862300
Cannonsville,2014-03-15,17831700
Cannonsville,2014-04-15,17965800
Cannonsville,2014-05-15,17442900
Cannonsville,2014-06-15,16704000
Cannonsville,2014-07-15,16687800
Cannonsville,2014-08-15,16464600
Cannonsville,2014-09-15,15636600
Cannonsville,2014-10-15,15396300
Cannonsville,2014-11-15,15508800
Cannonsville,2015-04-15,17400600
Cannonsville,2015-05-15,16913700
Cannonsville,2015-06-15,15927300
Cannonsville,2015-07-15,16602300
Cannonsville,2015-08-15,15640200
Cannonsville,2015-09-15,14899500
Cannonsville,2015-10-15,14726700
Cannonsville,2015-11-15,14726700
Cannonsville,2015-12-15,14726700
Pepacton,1984-07-15,19668600
Pepacton,1984-08-15,19668600
Pepacton,1984-09-15,19435500
Pepacton,1984-10-15,19123200
Pepacton,1984-11-15,19122300
Pepacton,1984-12-15,19120500
Pepacton,1985-04-15,17423100
Pepacton,1985-05-15,17419500
Pepacton,1985-06-15,17055900
Pepacton,1985-07-15,15632100
Pepacton,1985-08-15,15629400
Pepacton,1985-09-15,15629400
Pepacton,1985-10-15,15809400
Pepacton,1985-11-15,21914100
Pepacton,1986-08-15,20171700
Pepacton,1987-03-15,21437100
Pepacton,1987-04-15,21464100
Pepacton,1987-05-15,21134700
Pepacton,1987-06-15,20092500
Pepacton,1987-07-15,19242000
Pepacton,1987-08-15,19242000
Pepacton,1987-09-15,19068300
Pepacton,1987-10-15,19162800
Pepacton,1987-11-15,20783700
Pepacton,1988-04-15,20781900
Pepacton,1988-05-15,19764000
Pepacton,1988-06-15,20194200
Pepacton,1988-07-15,19234800
Pepacton,1988-08-15,19233900
Pepacton,1988-09-15,18980100
Pepacton,1988-10-15,18680400
Pepacton,1988-11-15,18679500
Pepacton,1989-05-15,17826300
